motif_id	extended_summary	primary_sources	external_links
MOTIF-075	【白山信仰】白山(石川・福井・岐阜境、2,702m、北陸最高峰)を御神体とする山岳信仰の体系。【開山伝承】養老元(717)年、修験者・泰澄(たいちょう、682-767)が白山を初登頂し感得(『泰澄和尚伝記』『白山之記』、L1-L2)、本地仏は十一面観音、白山妙理権現(DEI-195)の神格化。【三馬場制】白山信仰は加賀馬場(石川県白山市)・越前馬場(福井県)・美濃馬場(岐阜県)の三馬場体制で並立、全国に2700余社の白山系神社を勧請。【菊理媛同体視】中世以降、白山妙理権現=菊理媛大神(『日本書紀』神代上 第五段一書のみに登場する黄泉口仲裁の女神)同体視が確立(L1、本地垂迹)。【縄文連続性論】白山周辺は縄文期の遺跡分布が濃く、原始山岳信仰の遺存形態とする説あり(L3-L4)。【信仰圏】白山比咩神社(SHR-419、加賀国一宮)を本宮に、全国の白山神社(2700社余)、修験道白山系で祀られる、山岳・水神・縁結び・縄文古層信仰の神格。【現代】2017年北陸新幹線開業で観光客増、白山登山・参拝で年100万人。	泰澄和尚伝記|白山之記|白山由来記|日本書紀(神代上 第五段一書)|延喜式神名帳	
MOTIF-128	【大物主祟り神話】崇神朝、疫病大流行で人民が流亡、原因を占うと「大物主の祟り」と判明、子孫・大田田根子を祭主に立てて疫病平癒した記紀神話(『日本書紀』崇神7-8年)。【神話の流れ】崇神7年、国中で疫病が大流行、人民流亡、農業壊滅。崇神は天津神・国津神を百姓に祈祷させるも効果なし、夜の夢に大物主神が現れ「我が子孫・意富多多泥古(おおたたねこ)を捜し出して、我を祭らせよ。さすれば疫病は治まる」と告げる。大田田根子を河内国から捜し出し、三輪山の祭主に立て、神官に大物主を盛大に祀らせたところ、疫病が平癒し人民も豊かに(『日本書紀』崇神7-8年)。【意義】(1)三輪山祭祀の整備=ヤマト王権による在地神統合の神話的核心、(2)大田田根子=三輪氏祖の祭祀権の神話的根拠、(3)祟り神=怨霊鎮静のプロトタイプ、後の御霊信仰(平安期、菅原道真の祟り等)の起源。【現代】大神神社(SHR-010)で祭祀継続、毎年4月の大神祭・鎮花祭(薬まつり)が崇神朝祭祀整備の継承。	日本書紀(崇神紀)|古事記(中巻 崇神段)|大神神社縁起|新撰姓氏録	
MOTIF-131	【磐座(いわくら)祭祀】神社建築以前の原始祭祀形態、自然の巨岩を神霊の依代として祀る祭祀形式。【代表事例】(1)大神神社(SHR-010)三輪山の磐座=本殿を持たず三輪山自体が御神体、神社建築以前の祭祀形態の現代継承例、(2)石上神宮(SHR-011)の禁足地(明治7年発掘で剣・玉等出土)、(3)宗像大社沖津宮の沖ノ島(4-9世紀の磐座祭祀)、(4)熊野速玉大社元宮・神倉山のゴトビキ岩、(5)諏訪大社上社の磐座、(6)石鎚神社・葛城等の山岳磐座。【祭祀形式変遷】沖ノ島祭祀では4-5世紀=岩上祭祀→5-7世紀=半岩陰→7-8世紀=岩陰→8-9世紀=半露天→9世紀末=露天と変遷、神社建築への移行過程を考古学的に確認。【意義】(1)神社建築以前の純然たる自然崇拝の遺存形態、(2)縄文・弥生・古墳期の祭祀の物質的痕跡を保持する稀有な事例、(3)世界的に「磐座=ストーンサークル」型の祭祀は普遍的(ストーンヘンジ・ナスカ・ハワイ等)で比較研究の主題。	古事記|日本書紀|出雲国風土記|延喜式|考古学諸研究	
MOTIF-134	【神体山(かんなびやま)】山自体を神霊として崇拝する古代信仰形態、本殿を持たず山が御神体となる神社祭祀の原型。【代表事例】(1)三輪山(467m、奈良)=大神神社御神体、円錐形山容と山頂磐座が原型、(2)諏訪大社上社の本宮山(諏訪市の守屋山)、(3)富士山=富士山本宮浅間大社御神体、(4)御嶽山=御嶽神社御神体、(5)出羽三山(月山・羽黒山・湯殿山)、(6)立山(雄山神社御神体)、(7)石鎚山(石鎚神社御神体)。【祭祀形式】拝殿だけがあり、本殿の代わりに山を遥拝する形式(三ツ鳥居+拝殿=大神神社方式)、または山頂の奥宮+山麓の本宮の二宮制(富士山・白山・伯耆大山等)。【意義】(1)神社建築以前の純粋な自然崇拝の現代継承形態、(2)世界的に「聖山」信仰は普遍的(エヴェレスト=チョモランマ、シナイ山、オリンポス等)で比較研究、(3)古代日本の原始神道の物質的遺存。	古事記|日本書紀|延喜式|大神神社縁起|諏訪大社縁起|富士本縁起	
MOTIF-136	【御柱(おんばしら)】諏訪大社の式年祭で、樹齢150-200年の樅(モミ)の大木を山から伐り出し、上社・下社の各四隅に建てる古代山岳祭祀。【祭の構造】寅・申年(7年に一度、2010・2016・2022・2028…)に開催、4-5月の長期祭、樹齢200年級の樅の木16本(上社8・下社8)を山から曳き下ろし、各宮の四隅に建立する古層神事。【木落とし】最大の見せ場「木落とし」は急斜面(35度の坂)で約10m級の御柱を曳き下ろす危険な神事、若衆が御柱に乗ったまま落下する勇壮な祭礼、死傷者を出すこともある真剣勝負。【意義】(1)樹木崇拝(L2、縄文以来の原始信仰の遺存形態とする説)、(2)山岳神=諏訪上社神=建御名方の依代の更新儀礼、(3)中世以降は領内武士の動員儀礼として政治的意義も付与、(4)現代も寅申年に7年周期で実施、観光・地域文化の中心、長野県の象徴的祭礼。【遺跡対応】諏訪は黒曜石産地で旧石器〜縄文の交易拠点、御柱祭の樹木崇拝が縄文期に遡る可能性(L3、藤森栄一・古部族研究会)。	古事記|諏訪大明神画詞|諏訪信重解状|守矢家文書	
MOTIF-146	【ミシャグジ神】長野県・山梨県を中心に中部地方に分布する民俗神格、縄文〜弥生に遡る古層信仰の代表例。記紀には登場しないが、民俗祭祀での実在は明白。【神格の正体諸説】(1)諏訪上社の地祇神=洩矢神(DEI-132)の系統説、(2)男根崇拝の蛇神・石神説(L3、民俗学研究)、(3)中部地方の縄文土偶系神格説、(4)葛城地方の事代主・大物主との関係説。【祭祀形態】御柱(おんばしら=樹木の柱)・蛇神像・石神等の依代に降臨する形態、神社建築以前の原始祭祀の遺存形態を保つ。【守矢家文書】諏訪上社神長官守矢家(CLN-018)に伝わる文書にミシャグジ神祭祀の記録あり、守矢氏が古代から継承する重要神格、藤森栄一・古部族研究会等が縄文連続性研究の中心対象とする。【縄文連続性論】ミシャグジ神は縄文中期(BC3000-2000年)の中部地方原住民の信仰の遺存とする説(L3-L4)、現代の民俗学・考古学研究の重要主題。【現代】諏訪大社系統の上社摂末社・中部地方の民俗祭祀社で祀られる、地霊・自然崇拝・縄文連続性の神格、日本の原始宗教研究の中心対象。	守矢家文書|諏訪信重解状|諏訪大明神画詞|民俗学諸研究(柳田國男・折口信夫・古部族研究会)	
MOTIF-148	【アラハバキ】記紀神話に登場しない非・記紀系の古層神格で、東北地方を中心に各地に祭祀痕跡を残す謎の神。客人神(まろうどがみ)・門客神として大社の境内末社・摂社に祀られる形態が多い、本来の神格不明の特殊神。【祭祀拠点】氷川神社(武蔵国一宮、SHR-018)の摂社「門客人(まろうど)神社」、多賀大社(滋賀)境内、伊勢神宮内宮宇治橋脇等に祭祀痕跡。氷川神社の門客人神社は元の主祭神とする説あり(L2-L3、武蔵国造の祖神=スサノオ進入以前の出雲系在地神格と)。【縄文連続性論】「アラハバキ=ヤマト政権進出以前の東北・北関東の原住民の祖神」とする縄文連続性仮説(L3-L4、谷川健一・古田武彦・古部族研究会)、安東氏=津軽の中世豪族がアラハバキを祖神として信仰した伝承(『東日流外三郡誌』、ただし同書は偽書説強し、L4-L5)。【塞神・足神】語源について諸説 — 「荒覇吐=境界の神」「アラ+ハバキ(脛巾)=旅・道祖神」「アラハバキ=蛇神・男根崇拝」等(L3、民俗学諸説)、塞神(さえのかみ)・道祖神との関連も指摘。【信仰圏】氷川神社門客人神社・多賀大社・東北の荒覇吐神社・全国の塞神・道祖神社で祀られる、地祇・道祖神・縄文連続性の謎の神格、日本古代宗教研究の重要主題。	氷川神社縁起|多賀大社縁起|東日流外三郡誌(偽書説あり)|柳田國男・折口信夫等民俗学研究	
MOTIF-156	【阿曇族】筑前国糟屋郡阿曇郷(現福岡市東区)を本拠とする日本古代最大の海人氏族。綿津見三神を祖神とし、4-9世紀の大陸・半島交通の中心を担った。【神話的位置】椎根津彦(しいねつひこ、阿曇氏祖)が神武東征で水先案内、神話的位置の特殊性。【海洋経営】筑紫海人の代表として古代から朝廷に仕え、海上交通・水軍・外交に活躍。応神朝に皇室の食事供進(膳氏)とも縁、膳大伴部の母体。【神功皇后・三韓征伐】神功皇后三韓征伐に従軍、阿曇磯良(MOTIF-046)が水軍司令(後に独立神格化)。【白村江】斉明7(661)年、阿曇比羅夫が水軍司令として白村江の戦で唐・新羅連合軍と戦い戦死、日本古代の対外戦争最大の動員。【信濃移住】中世にかけて阿曇氏は信濃国(現長野県松本盆地北部の「安曇野」)等に移住、内陸の海神信仰として穂高神社(SHR-1010、安曇野市)に祖神を祀る稀有な事例、信濃と九州を結ぶ古代海人ネットワークの物質的痕跡。【現代】志賀海神社・穂高神社・安曇野等で祭祀継承、現代の阿曇姓・安曇姓継承家あり。	古事記|日本書紀(神功・斉明紀)|新撰姓氏録|筑前国風土記	
MOTIF-168	【熊野権現】熊野三山(本宮=熊野本宮大社・新宮=熊野速玉大社・那智=熊野那智大社)に祀られる熊野三所権現体系、神仏習合の代表例。【三所権現】(1)本宮・家都美御子大神=スサノオ同体・本地阿弥陀如来、(2)新宮・熊野速玉大神=イザナギ同体・本地薬師如来、(3)那智・熊野夫須美大神=イザナミ同体・本地千手観音、の三神三仏体系が中世以降確立(L1、本地垂迹)。【院政期熊野御幸】白河上皇以下歴代上皇の熊野御幸 — 白河9回・鳥羽21回・後白河34回・後鳥羽28回、計100回以上(L0、史実)、王法仏法の融合の精神的中心、熊野が中央政界の宗教的最高拠点化。【蟻の熊野詣】中世、上皇から庶民まで熊野詣が普及、参道(熊野古道)に九十九王子の祭祀点が成立、京都→紀伊半島南端への長距離参詣の道筋。【世界遺産】2004年「紀伊山地の霊場と参詣道」としてユネスコ世界遺産登録、熊野三山+熊野古道+周辺修験霊場が構成資産。【補陀落渡海】中世、那智から船で観音浄土を目指して海に出る捨身行「補陀落渡海(ふだらくとかい)」が行われた、熊野信仰の極限形態。【意義】神仏習合の体系化、本地垂迹説の代表事例、中世の宗教・政治・文化の中心。	熊野権現御垂迹縁起|長寛勘文|諸山縁起|平家物語|玉葉	
MOTIF-171	【大黒天=大国主習合】仏教の大黒天(梵語マハーカーラ、シヴァの破壊面)が「大国」の音通から大国主と中世以降同体視された神仏習合の代表例(L1)。【習合の経緯】平安期に大黒天が日本に伝来、「大黒(だいこく)」=「大国(おおくに)」の音通から大国主との結合が起き、中世(室町期)に米俵に乗り打ち出の小槌を持つ福徳神化、七福神の中心の一柱に。【七福神】(1)恵比寿(事代主・蛭子)・(2)大黒天(大国主同体)・(3)毘沙門天・(4)弁才天(市杵島姫同体)・(5)福禄寿・(6)寿老人・(7)布袋。江戸期に七福神参り・宝船等の民俗信仰として普及。【出雲大社との関係】出雲大社の主祭神=大国主→大黒天の図像が江戸期から普及、明治神仏分離で公式同体視は廃止されたが民間信仰では現代も継続。【意義】神仏習合の最も普及した形態、神道神格の仏教化と民間信仰化の典型例。	古事記|大黒天信仰諸書|江戸期七福神絵巻	
MOTIF-180	【殉死(じゅんし)】貴人(天皇・首長)の葬礼に従者・近臣が殉ずる古代の習俗。【記紀記述】(1)垂仁朝の野見宿禰(のみのすくね)説話 — 垂仁28年、皇弟倭彦命の葬礼で近臣が殉死し惨状を呈したことから、垂仁は野見宿禰に殉死の代替策を諮問、野見宿禰が出雲から土師(はじ)を呼んで埴輪(はにわ)を作り殉死に代替させたとされる、土師氏祖の事跡(『日本書紀』垂仁28年)。(2)埴輪起源神話=殉死代替説、考古学的には埴輪起源は別系統(L2、和田晴吾ら)。【考古学的殉死】古墳時代前期(4世紀)の前方後円墳から殉葬と推定される副葬人骨が出土、儀礼的殉死の物質的痕跡。【乃木大将】明治末期、明治天皇大葬(1912年9月13日)に陸軍大将・乃木希典が殉死、近代日本最後の著名殉死、乃木神社(東京・京都・栃木)祭祀の起源(DEI-531)。【意義】(1)古代死生観における殉死の位置、(2)埴輪起源神話の解釈、(3)武士道・忠君思想の極限形態、近代まで日本社会の倫理的緊張。	日本書紀(垂仁紀)|魏志倭人伝(卑弥呼陵に殉葬100人)|古事記	
MOTIF-192	【出雲国造系譜】天穂日命(DEI-013)を遠祖とする出雲国造家の系譜継承。【神話的起点】天照とスサノオの誓約で生まれた天穂日命が国譲り使者として出雲に派遣されたが大国主に従属、その子孫が出雲国造として出雲祭祀を継承(『古事記』『出雲国造神賀詞』)。【継承記録】崇神朝に出雲振根追討を経て大和朝廷に服属、霊亀2(716)〜寛弘2(1005)年の290年間に26例の神賀詞奏上(L0)。【千家・北島分立】南北朝期(14世紀)に千家・北島の両家に分立、現代まで出雲大社祭祀の二家分業体制継承。【千家国麿の結婚】2014年、千家国麿(現千家尊祐=84代の長男)が高円宮典子内親王と結婚、出雲国造家(天穂日後裔)と皇室(神武後裔)の神話的縁戚関係が現代に体現。【意義】日本における天皇家以外で最古級の世襲祭祀家、神話と歴史の連続性を体現する稀有な氏族。	古事記|日本書紀(崇神紀)|出雲国造神賀詞|新撰姓氏録|出雲国造系図	
MOTIF-193	【物部祖系譜】饒速日命(にぎはやひのみこと、DEI-340)を祖とする物部氏(CLN-009)の系譜。【神話的起点】饒速日が天磐船(あめのいわふね、空飛ぶ磐の船)に乗って大和国河内国境の生駒山に降臨した先住神、神武東征で神武に服属(『古事記』神武紀、『先代旧事本紀』天孫本紀)、天孫=皇統と並列する位置の神話的根拠。【物部氏軍事祭祀】饒速日の子・宇麻志麻治命(うましまじのみこと)が物部氏祖、物部氏は神武以来の軍事・武器庫(石上神宮=布都御魂剣奉斎)管理の名門氏族。【継承と滅亡】継体・欽明朝に大連として政治中枢、587年丁未の乱で物部守屋が八尾敗死、宗家滅亡。守屋の弟系統の物部尾輿系が「石上朝臣」を賜姓、石上麻呂(天武・持統朝の左大臣)で復活。【先代旧事本紀】物部氏伝承を集大成した平安初期の歴史書、記紀と並ぶ古代神話の重要史料。【意義】皇統と並列する天孫神話の二度降臨説、物部氏の地位の神話的正統化、神道思想史の重要事例。	古事記|日本書紀|先代旧事本紀(天孫本紀)|新撰姓氏録	
MOTIF-194	【中臣祖系譜】天児屋根命(あめのこやねのみこと、DEI-107)を祖とする中臣氏(CLN-024)・藤原氏(CLN-008)の系譜。【神話的起点】岩戸隠れ神話で天児屋根が岩戸前祭祀の祝詞奏上を担当(『古事記』『古語拾遺』)、神道祭祀の根源神話における祝詞奏上の起源、後の中臣・藤原氏の神祇祭祀権の神話的根拠。【中臣氏】神武東征時、天種子命(天児屋根の孫)が神武に随伴、神祇祭祀の専門氏族として古代継承。587年丁未の乱で中臣鎌子(鎌足の祖父)が物部守屋と組んで仏教排斥を主導するも敗北。【藤原氏分立】669年、中臣鎌足が天智天皇から藤原姓を賜姓、藤原氏分立、藤原四子(武智麻呂・房前・宇合・麻呂)で四家分立、北家が摂関政治を独占し平安期の政治・文化を主導。【春日大社】神護景雲2(768)年、藤原氏が氏神四神(武甕槌・経津主・天児屋根・比売神)を春日大社に勧請、藤原氏氏神祭祀の中心化。【意義】古代祭祀権が藤原氏の政治的覇権の神話的正統性として継承された、神道祭祀の最大の政治化の事例。	古事記|日本書紀|古語拾遺|新撰姓氏録|公卿補任	
MOTIF-198	【蝦夷(えみし)】古代日本における東北地方の先住民族・部族の総称、ヤマト政権の東方境界の異民族。【概念の変遷】古代では「蝦夷」=ヤマト政権の支配の及ばない辺境民族の意、北海道のアイヌとは別概念だが、後世に同一視される側面あり。【ヤマトタケル東征】景行朝、皇子・倭建命(DEI-016)が「東夷(あずまえびす)」=蝦夷を征討するため東国遠征、伊勢で草薙剣を授かり、駿河の野火攻めを退け、走水で弟橘媛が入水、東北まで進攻し帰路に伊吹山で薨去(『古事記』中巻、『日本書紀』景行紀)。【斉明・天智朝】阿倍比羅夫の蝦夷遠征(7世紀)、北東北まで進攻、後の坂上田村麻呂の蝦夷征討(8世紀末)へ繋がる。【蝦夷反乱】奈良〜平安初期に蝦夷の反乱多発、宝亀5(774)年の桃生城攻撃、延暦8(789)年の阿弖流為(あてるい)の乱まで蝦夷征服戦争が継続、坂上田村麻呂(758-811)の征夷大将軍で阿弖流為を降伏させた延暦21(802)年が画期。【意義】(1)古代日本の境界・他者観の物質的記録、(2)蝦夷征服戦争=東北の歴史的画期、(3)現代の東北地方アイデンティティの古層、L2-L4 で蝦夷=縄文連続性論の対象。	日本書紀|続日本紀|日本後紀|延暦儀式帳	
MOTIF-199	【熊襲(くまそ)】古代日本における九州南部(肥後・大隅・薩摩)の先住民族・部族、ヤマト政権の南方境界の異民族。【ヤマトタケル熊襲征討】景行朝、皇子・倭建命が「熊襲建(くまそたける)」兄弟を女装して暗殺、「ヤマト武(=タケル)」の名を熊襲建から与えられて「倭建」を名乗る(『古事記』中巻、『日本書紀』景行紀)、ヤマト政権の南九州統合の神話的画期。【神功皇后熊襲征討】仲哀朝、神功皇后が筑紫橿日宮で熊襲征伐を計画中に住吉三神の託宣で新羅遠征に転じる(『日本書紀』神功摂政前紀)。【隼人との関係】熊襲征服後、熊襲は「隼人(はやと)」と称され、ヤマト政権下の従属異民族として宮中で「狗吠の儀」(犬の吠え声で服属を演じる儀礼)を披露(『令義解』『延喜式』)。【海幸山幸神話】隼人(熊襲後身)の祖は海幸彦、皇統の祖は山幸彦の弟継承神話で、ヤマト政権による南九州隼人服属の神話的正統化。【意義】(1)古代日本の南方境界の物質的記録、(2)ヤマトタケル英雄神話の対立軸、(3)現代の南九州地方アイデンティティの古層、L2-L4 で熊襲=縄文連続性論の対象。	古事記|日本書紀|令義解|延喜式	
MOTIF-205	【出雲国譲り(被征服側視点)】出雲側から見た国譲り神話の再解釈、出雲在地神話・出雲国造祭祀の継承形態。【出雲国造神賀詞】「所造天下大神(あめのしたつくらしし)」=大国主を称え、出雲祭祀の朝廷との連合関係を表現する古代祝詞、被征服側=出雲国造側の祭祀権継承の証(L0、霊亀2-寛弘2年に26例奏上)。【出雲国風土記】8世紀の現存風土記、記紀とは独立した出雲側神話の物質的記録、八束水臣津野命の国引き神話(出雲が朝鮮半島・隠岐・北陸の土地を引き寄せて作られた)等、ヤマト中心の記紀神話とは異なる視点。【出雲大社の特殊性】出雲大社は本殿が西向き(出雲大社=「拝殿正面の参拝者は神を見上げる位置になる」)、「二礼四拍手一礼」(全国は二拍手)、神在月(全国の神が出雲に集う)等、ヤマト中心神道とは異なる祭祀形態を継承。【意義】(1)記紀の朝廷正統性神話に対する出雲側の独自神話の存続、(2)被征服側祭祀権の継承体制、(3)古代日本の二元的祭祀構造の物質的記録、L2 で神話学・民俗学の重要主題。	出雲国風土記|出雲国造神賀詞|出雲国造系図|大社造関連考古資料	
MOTIF-218	【国学】江戸時代後期(17-19世紀)に発達した、記紀・万葉等の古典研究を中心とする日本独自の学問体系。【主要人物】契沖(1640-1701)・賀茂真淵(1697-1769)・本居宣長(1730-1801)・平田篤胤(1776-1843)の「国学四大人(しうし)」を中心。【本居宣長の業績】(1)『古事記伝』(全44巻、1798年完成、本居宣長55年の研究の集大成)=古事記の総合的注釈、神話の最高権威となる、(2)漢字渡来前の純粋な日本語(やまとことば)を探究し、漢字音にとらわれない読み方を確立、(3)もののあはれ論=日本古典文学の美意識論。【平田篤胤】幕末の復古神道を体系化、後の明治維新の思想的背景となる。【明治への影響】国学の影響で明治維新の「王政復古・祭政一致」「神仏分離」「皇祖神=天照大神の国家神格化」等の政策が実施、日本近代国家形成の思想的基盤。【意義】(1)記紀神話研究の体系化、(2)古代神道思想の近代的再評価、(3)国家神道の理論的背景。	古事記伝(本居宣長)|国意考(賀茂真淵)|玉勝間(本居宣長)|気吹舎集(平田篤胤)	
MOTIF-238	【葵祭(賀茂祭)】京都・賀茂社(上賀茂神社=賀茂別雷神社+下鴨神社=賀茂御祖神社)の例大祭、5月15日に挙行する宮中三大勅祭の一(他は石清水祭・春日祭)。【祭の流れ】5/15、京都御所→下鴨神社→上賀茂神社の総距離約8kmを、平安貴族装束(衣冠束帯・十二単等)で行列する「路頭の儀」、行列は約500人・牛車2台・馬36頭、出発から到着まで約8時間。途中、下鴨神社・上賀茂神社で「社頭の儀」を執行。【「葵」の名前由来】行列参加者・牛車・装束に賀茂神社の神紋「フタバアオイ」(双葉葵、葵科の植物)を飾ることから「葵祭」と俗称、賀茂祭の正式名。【歴史】古代から継続する勅祭、平安期に確立(嵯峨朝・弘仁年間)。応仁の乱以後の中断(1467-1693)を経て、徳川綱吉が元禄6(1693)年再興、現代まで継続。【意義】(1)平安絵巻の世界を体現する日本最古の祭礼文化、(2)宮中三大勅祭の一、(3)京都の春の風物詩、ユネスコ無形文化遺産候補。	延喜式(賀茂祭)|玉葉|新編山城国風土記|京都帝室博物館記録	
MOTIF-261	【伊吹山白猪神話】倭建命(ヤマトタケル、DEI-016)の最期に関わる神話エピソード(『古事記』中巻、『日本書紀』景行紀)。【神話の流れ】東征から帰路、近江国伊吹山(現岐阜・滋賀境、1,377m)の神を素手で討つと豪語して登山、頂上付近で大きな白い猪(あるいは大蛇、書紀本文では大蛇)に出会う、ヤマトタケルは「これは神の使いだろう、後で殺せばいい」と無視するが、実はそれが伊吹山の神そのもの、神は怒って氷雨を降らせて山を白く煙らせ、ヤマトタケルは毒気に侵されて意識朦朧、辛うじて下山して醒井(さめがい、現滋賀県米原市)で清水を飲んで一時意識を回復するも、すでに毒回り、伊勢の能褒野(のぼの、現三重県亀山市)で薨去。【白猪の意味】(1)山岳神=動物姿の現れ、神話における神の使い/神自身の区別の難しさ、(2)ヤマトタケルの傲慢の罰=神への驕りの神話的代償、(3)古代の死因伝承=毒気・呪詛・神罰の融合形態。【書紀の異伝】書紀本文では「大蛇」、書紀第十景行段では「大白猪」、両伝の比較から書紀編纂期の伝承異同が見える(L2)。【意義】古代英雄神話における「英雄の死」の典型、ヤマトタケル神話のクライマックス、後世の能・浄瑠璃・歌舞伎で頻繁に劇化、日本古代の最大悲劇英雄の終焉エピソード。【信仰】伊吹山(現滋賀県・岐阜県境)・能褒野(三重県亀山市・ヤマトタケル白鳥陵)・建部大社(近江国一宮、SHR-?)等の関連聖地。	古事記(中巻 倭建段)|日本書紀(景行紀)|尾張国熱田太神宮縁起	
